Jenis Kelamin,Panjang,Diameter Cangkang,Tinggi,Berat Daging Belum Dikupas,Berat Daging Udah Dikupas,Berat Organ Dalam,Berat Cangkang
Indeterminate,0.775,0.5875,0.175,4.2807745,1.7860185,1.14815475,1.2757275
Jantan,1.1625,0.8875,0.3,15.06775925,7.72523875,2.7499015,3.95475525
Betina,1.0875,0.875,0.3,12.99824575,5.443104,2.83495,3.685435
Indeterminate,1.35,0.9875,0.3375,18.58309725,7.66853975,4.3941725,5.443104
Indeterminate,0.825,0.6,0.1875,4.6209685,2.11203775,0.9355335,1.360776
Jantan,1.6375,1.2875,0.5,38.9238635,12.5588285,9.56795625,13.891255
Jantan,1.575,1.325,0.4375,40.07201825,18.9091165,8.34892775,10.07824725
Jantan,1.6,1.25,0.4375,36.0889135,14.35902175,8.29222875,11.4815475
Betina,1.3375,1.05,0.325,19.8163005,8.85921875,4.43669675,5.76912325
Jantan,1.0625,0.7625,0.275,10.1774705,4.9044635,2.48058125,2.76407625
Indeterminate,1.4875,1.175,0.3375,26.54930675,12.303683,5.216308,8.1363065
Jantan,1.6125,1.2125,0.3875,42.2124055,16.76872925,8.845044,10.77281
Indeterminate,0.675,0.475,0.15,2.8066005,1.26155275,0.4819415,0.850485
Betina,1.5125,1.225,0.375,32.16250775,12.20445975,7.15824875,9.922325
Betina,1.5,1.175,0.475,32.16250775,13.947954,7.35669525,9.56795625
Indeterminate,1.225,0.95,0.3,14.9968855,6.13766675,3.9405805,4.3941725
Betina,1.4375,1.15,0.4625,31.014353,12.71475075,6.1518415,9.7805775
Indeterminate,0.4125,0.2875,0.0375,0.41106775,0.15592225,0.0850485,0.1417475
Betina,1.3,1.0,0.3,18.46969925,7.3992195,5.71242425,4.6776675
Betina,1.45,1.2,0.45,35.42270025,14.01882775,7.654365,10.5176645
Jantan,1.45,1.175,0.4125,29.5118295,15.30873,4.706017,7.9095105
Betina,1.7,1.375,0.475,51.2275465,23.31746375,10.36174225,14.5999925
Indeterminate,0.7,0.5,0.1875,3.47281375,1.54504775,0.32601925,0.9922325
Jantan,1.5,1.175,0.4375,31.3261975,13.79203175,7.0023265,8.9300925
Betina,1.2625,0.9375,0.2875,16.71203025,7.47009325,3.40194,4.7343665
Indeterminate,1.2625,0.975,0.4625,17.36406875,7.5693165,4.025629,4.876114
Jantan,1.425,1.0125,0.4,26.20911275,9.76640275,6.19436575,8.3631025
Indeterminate,1.2375,0.9375,0.3,17.406593,8.09378225,3.86970675,4.5642695
Jantan,1.6125,1.2875,0.6,43.70075425,13.3526145,10.4609655,15.1669825
Indeterminate,1.05,0.7875,0.25,9.73805325,4.4508715,2.25378525,2.551455
Indeterminate,0.6375,0.4625,0.175,2.1262125,0.793786,0.510291,0.7087375
Betina,1.5125,1.15,0.425,31.808139,9.8372765,8.63242275,8.9300925
Indeterminate,0.4,0.275,0.0625,0.55281525,0.21262125,0.1417475,0.170097
Indeterminate,1.175,0.925,0.3,13.33843975,5.23048275,2.99087225,4.3941725
Indeterminate,1.0625,0.775,0.2625,10.3475675,4.5075705,2.33883375,2.9766975
Jantan,1.3,1.0,0.3125,15.8473705,7.200773,3.9405805,4.2240755
Jantan,1.7125,1.275,0.45,41.23434775,17.90270925,8.80251975,10.56018875
Betina,1.6625,1.3,0.4125,47.86813075,20.68096025,11.5382465,12.09106175
Indeterminate,0.95,0.75,0.25,8.107957,3.69960975,1.587572,2.551455
Indeterminate,1.375,1.0875,0.35,21.36134825,9.31281075,4.40834725,6.59125875
Betina,1.4375,1.15,0.4125,27.14464625,13.65028425,5.51397775,6.690482
Indeterminate,1.1625,0.8125,0.35,21.58814425,10.262519,4.35164825,5.9250455
Betina,1.325,1.0875,0.425,23.11901725,8.46232575,4.3941725,7.7961125
Betina,1.175,0.875,0.2875,13.8062065,5.54232725,3.6003865,4.3941725
Jantan,1.5375,1.3125,0.3875,32.24755625,10.4042665,6.690482,10.489315
Jantan,1.7,1.35,0.3875,43.488133,19.0225145,10.7444605,10.886208
Betina,1.5625,1.2375,0.4,34.983283,17.95940825,5.443104,9.922325
Indeterminate,0.8875,0.675,0.2625,7.6827145,4.03980375,1.48834875,2.08368825
Betina,1.1375,0.8875,0.3,12.74310025,5.0178615,2.948348,4.252425
Betina,1.425,1.0875,0.35,24.33804575,11.07047975,5.556502,6.50621025
Betina,1.175,0.9125,0.3,15.3937785,6.50621025,4.23825025,4.252425
Jantan,1.3125,1.05,0.3875,23.870279,12.133586,4.01145425,5.79747275
Jantan,1.425,1.125,0.3875,33.83512825,14.5432935,5.953395,9.7238785
Betina,1.3,1.0125,0.3125,18.24290325,6.84640425,4.91863825,5.953395
Betina,1.5875,1.2125,0.4125,36.69842775,18.937466,7.38504475,7.69688925
Indeterminate,1.525,1.1875,0.375,27.39979175,11.75086775,5.6699,9.7805775
Betina,1.3,1.025,0.3125,19.80212575,8.34892775,4.60679375,6.0951425
Betina,1.475,1.15,0.3625,28.08017975,12.8423235,6.25106475,7.7961125
Betina,1.1875,0.9375,0.3125,16.40018575,7.86698625,2.4097075,4.3941725
Jantan,1.45,1.175,0.4125,26.2799865,9.11436425,5.62737575,8.9300925
Jantan,0.3875,0.2875,0.0625,0.680388,0.2551455,0.1417475,0.21262125
Indeterminate,1.1,0.8625,0.325,12.74310025,5.9250455,2.36718325,3.798833
